,epithelial cell of proximal tubule,fibroblast,glomerular visceral epithelial cell,kidney capillary endothelial cell,kidney connecting tubule epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,leukocyte,mesangial cell,parietal epithelial cell,renal alpha-intercalated cell,renal beta-intercalated cell,renal principal cell
ENSG00000267059,0.06239081,0.0010732962,0.10698478,0.20246711,0.05002218,0.064755,0.1316408,0.0010732962,0.055974603,0.08417187,0.1061439,0.039670043,0.09363234
ENSG00000127540,0.052378837,0.003289562,0.094417706,0.03568334,0.11552945,0.18843353,0.15402268,0.003289562,0.23576117,0.003289562,0.07330128,0.003289562,0.03731383
ENSG00000071564,0.054538988,0.042395495,0.034589756,0.05514087,0.05771113,0.04310479,0.05690983,0.022000663,0.06453343,0.04993099,0.15711002,0.29264417,0.06938988
ENSG00000130270,0.050515864,0.004428097,0.12802173,0.24989524,0.12690742,0.03376487,0.0148734795,0.004428097,0.004428097,0.36945292,0.004428097,0.004428097,0.004428097
ENSG00000079313,0.14021486,0.039602198,0.0584448,0.047135234,0.049731646,0.061574813,0.06416997,0.20517585,0.060710624,0.049865253,0.07646816,0.0952597,0.051646877
ENSG00000129911,0.074268416,0.001230854,0.100285515,0.05476651,0.08676923,0.034183584,0.06997885,0.001230854,0.06285652,0.1415989,0.0451252,0.2707111,0.05699441
ENSG00000261526,0.028691338,0.0007794192,0.084922016,0.06950121,0.11863723,0.06644225,0.15992035,0.0007794192,0.07298389,0.05121633,0.08419125,0.17107145,0.0908639
ENSG00000129968,0.07992756,0.07390282,0.044097215,0.09561917,0.066682704,0.07316196,0.07446964,0.15377165,0.05914953,0.06230447,0.09351768,0.042525463,0.08087008
ENSG00000227500,0.06454154,0.041935742,0.052434865,0.03917491,0.109203316,0.078062214,0.11669547,0.06620035,0.090604216,0.06527592,0.08830934,0.05167039,0.13589172
ENSG00000133275,0.10494278,0.08167987,0.042162202,0.05793866,0.06264955,0.053747926,0.06744215,0.18845552,0.04801114,0.08275287,0.08531616,0.05949513,0.065406054
ENSG00000133243,0.09943966,0.05593722,0.07140851,0.045412652,0.08168098,0.06868207,0.07755512,0.026538104,0.118736856,0.08060675,0.08543377,0.10792915,0.080639265
ENSG00000099875,0.08951287,0.06604259,0.06752812,0.08032062,0.08305038,0.047254156,0.09493898,6.9708396e-05,0.0901115,0.06506358,0.109671354,0.0992583,0.10717775
ENSG00000172081,0.08307642,0.0774693,0.06676105,0.062106535,0.051604554,0.051946793,0.06093667,0.19548607,0.054785576,0.07146679,0.07721267,0.07915674,0.06799091
ENSG00000099840,0.051431354,0.1925725,0.067129746,0.0069692926,0.03714096,0.020534294,0.053587228,0.00028255238,0.029695213,0.06349222,0.07773605,0.34434098,0.05508761
ENSG00000065000,0.13679108,0.08144454,0.057882223,0.07458276,0.06854847,0.06830194,0.07209802,0.07801979,0.08451222,0.054537497,0.075332716,0.06493267,0.08301606
ENSG00000104885,0.13021575,0.07938626,0.04344611,0.03816764,0.16240807,0.07454952,0.058402322,0.056381598,0.038509544,0.055500735,0.082570255,0.106731445,0.07373074
ENSG00000104886,0.09842669,0.03940607,0.030388994,0.032524757,0.10779009,0.0962814,0.09022385,0.09229696,0.030381713,0.066456676,0.119785935,0.123520985,0.072515935
ENSG00000104897,0.055704687,0.08807448,0.07940877,0.07720183,0.075469494,0.070026286,0.069913104,0.076454505,0.06777517,0.09696303,0.09366431,0.08814091,0.061203394
ENSG00000104899,0.026385853,0.05329831,0.0009902891,0.02169374,0.07592255,0.02484134,0.07481649,0.24985321,0.061414476,0.21643023,0.08226998,0.050487142,0.061596457
ENSG00000167476,0.14992118,0.0048556584,0.0048556584,0.21782522,0.036965854,0.1373598,0.24540137,0.0048556584,0.0048556584,0.0048556584,0.17853715,0.0048556584,0.0048556584
ENSG00000104904,0.022982197,0.795879,0.005241307,0.005241307,0.005241307,0.10387354,0.03009365,0.005241307,0.005241307,0.005241307,0.005241307,0.005241307,0.005241307
ENSG00000273734,0.019440327,0.028566565,0.06541587,0.00604933,0.031967882,0.0048277997,0.010556788,0.7368112,0.00057755737,0.028948592,0.016303856,0.00057755737,0.049956527
ENSG00000130332,0.057613797,0.0689295,0.058401115,0.06098373,0.09288432,0.077560715,0.074537255,0.12172825,0.03778048,0.05399538,0.083639145,0.12431863,0.087627664
ENSG00000005206,0.14922562,0.052293997,0.04120488,0.06300942,0.07195679,0.07818896,0.09286275,0.0954588,0.037375733,0.06022798,0.08769231,0.07222045,0.09828239
ENSG00000178297,0.07361385,0.0045252847,0.13344283,0.0045252847,0.18126965,0.10006625,0.10493926,0.0045252847,0.0045252847,0.0045252847,0.27427614,0.0045252847,0.10524032
ENSG00000099800,0.07810225,0.051556643,0.044671837,0.026321007,0.064794846,0.12564828,0.0993526,0.0002788762,0.04039638,0.08747745,0.19839366,0.11096753,0.07203865
ENSG00000176619,0.059256393,0.030123996,0.057327416,0.049451146,0.10760643,0.036590345,0.06948984,0.21070474,0.033026516,0.028088052,0.16288833,0.0944864,0.06096042
ENSG00000099860,0.0496434,0.06258786,0.037918456,0.029530639,0.16857709,0.029795691,0.04597816,0.06758328,0.089108296,0.13317147,0.023351483,0.09887833,0.16387579
ENSG00000176533,0.057827644,0.032530665,0.01940168,0.08896732,0.08375942,0.08612444,0.19112326,0.095415846,0.08857342,0.04226308,0.06526513,0.06594693,0.082801074
ENSG00000176490,0.015408533,0.0015523165,0.0015523165,0.0015523165,0.14435369,0.13689362,0.20374438,0.0015523165,0.0015523165,0.0015523165,0.20207201,0.28666145,0.0015523165
ENSG00000104969,0.06902032,0.051418316,0.05615482,0.060050704,0.083066046,0.07201145,0.087922215,0.10790969,0.098320626,0.03616529,0.11856575,0.105940625,0.053454153
ENSG00000172009,0.08771171,0.05241134,0.041141164,0.04122724,0.0687149,0.064346135,0.08902082,0.091500014,0.071691245,0.052155603,0.12013529,0.13202842,0.08791611
ENSG00000172006,0.0806646,0.12851144,0.09992335,0.04926246,0.09546805,0.13258171,0.11165957,0.00028483587,0.06512769,0.05740802,0.062059693,0.047504283,0.069544286
ENSG00000186300,0.062379528,0.0146583365,0.10820027,0.059793197,0.06580327,0.08433774,0.102570504,0.049330432,0.025862595,0.08344241,0.12661758,0.124109805,0.09289433
ENSG00000267063,0.038947497,0.26479295,0.33080414,0.003963828,0.033055417,0.06164963,0.04288742,0.003963828,0.003963828,0.003963828,0.047869895,0.003963828,0.16017397
